Class,A1x_1,A1y_1,A1z_1,G1x_1,G1y_1,G1z_1,A2x_1,A2y_1,A2z_1,G2x_1,G2y_1,G2z_1,A3x_1,A3y_1,A3z_1,G3x_1,G3y_1,G3z_1,A4x_1,A4y_1,A4z_1,G4x_1,G4y_1,G4z_1,A1x_2,A1y_2,A1z_2,G1x_2,G1y_2,G1z_2,A2x_2,A2y_2,A2z_2,G2x_2,G2y_2,G2z_2,A3x_2,A3y_2,A3z_2,G3x_2,G3y_2,G3z_2,A4x_2,A4y_2,A4z_2,G4x_2,G4y_2,G4z_2
Inizio,-2.7064,8.8999,-2.031,2.8156,8.9447,4.6543,-1.1061,8.1403,-5.4923,6.292,9.4954,0.1341,-0.1011,0.4571,-0.0718,0.083,-0.0905,0.075,0.0234,0.2027,-0.0484,1.028,1.806,-0.919,0.297,10.5237,1.1831,2.6767,8.2217,2.9161,-0.814,8.5665,-5.205,-0.0622,6.9432,-3.2417,0.4858,2.3785,-0.5827,-0.0277,0.3368,0.265,-0.0011,0.2543,-0.2283,1.5218,2.4706,-1.6362
Calcio,0.297,10.5237,1.1831,2.6767,8.2217,2.9161,-0.814,8.5665,-5.205,-0.0622,6.9432,-3.2417,0.4858,2.3785,-0.5827,-0.0277,0.3368,0.265,-0.0011,0.2543,-0.2283,1.5218,2.4706,-1.6362,-0.9724,8.9717,2.9076,5.2194,6.8043,6.426,1.2881,10.9607,-2.5043,8.6239,2.1165,-7.9248,-0.5869,1.5091,-0.3347,-1.7028,1.4878,0.7694,-0.3996,1.2175,-0.5619,1.3776,3.5189,-2.569
Calcio,-0.9724,8.9717,2.9076,5.2194,6.8043,6.426,1.2881,10.9607,-2.5043,8.6239,2.1165,-7.9248,-0.5869,1.5091,-0.3347,-1.7028,1.4878,0.7694,-0.3996,1.2175,-0.5619,1.3776,3.5189,-2.569,-0.958,0.2778,8.6029,-4.2282,5.77,7.6854,-3.1268,17.3963,5.8083,-3.9744,0.2729,-1.4461,-4.739,5.3147,-1.0594,0.0803,2.1939,0.0069,1.9544,-0.0708,-0.771,1.4734,2.22,-1.9427
Calcio,-0.958,0.2778,8.6029,-4.2282,5.77,7.6854,-3.1268,17.3963,5.8083,-3.9744,0.2729,-1.4461,-4.739,5.3147,-1.0594,0.0803,2.1939,0.0069,1.9544,-0.0708,-0.771,1.4734,2.22,-1.9427,-0.0719,11.9703,6.6486,10.161,6.2632,9.0644,6.5936,16.7929,-7.5513,4.2856,8.5234,-6.177,-6.0049,6.7222,1.533,1.1653,-4.6549,-0.4672,4.0999,2.585,-3.0389,0.8493,1.6102,-0.704
Calcio,-0.0719,11.9703,6.6486,10.161,6.2632,9.0644,6.5936,16.7929,-7.5513,4.2856,8.5234,-6.177,-6.0049,6.7222,1.533,1.1653,-4.6549,-0.4672,4.0999,2.585,-3.0389,0.8493,1.6102,-0.704,-8.1191,8.1862,11.5009,2.7294,11.1666,4.0175,1.8866,-3.3902,-22.4816,0.5794,14.777,-2.9209,-5.1673,7.8742,-0.1394,0.7157,0.8067,1.822,-3.7764,-0.067,-2.2583,1.0344,5.5882,-2.0061
Calcio,-8.1191,8.1862,11.5009,2.7294,11.1666,4.0175,1.8866,-3.3902,-22.4816,0.5794,14.777,-2.9209,-5.1673,7.8742,-0.1394,0.7157,0.8067,1.822,-3.7764,-0.067,-2.2583,1.0344,5.5882,-2.0061,5.0295,10.313,4.244,-6.4356,9.8785,6.5362,12.0093,-1.2785,-10.343,-12.8617,-8.3127,-2.1404,0.9738,4.0739,-1.8044,0.9402,4.8843,2.0242,2.0321,-3.9919,-9.892,0.8902,12.4083,-9.4748
Calcio,5.0295,10.313,4.244,-6.4356,9.8785,6.5362,12.0093,-1.2785,-10.343,-12.8617,-8.3127,-2.1404,0.9738,4.0739,-1.8044,0.9402,4.8843,2.0242,2.0321,-3.9919,-9.892,0.8902,12.4083,-9.4748,-14.2216,6.4953,5.02,0.9433,4.3862,14.8584,0.6704,-11.5353,0.407,-19.4457,11.1043,-17.2047,1.8682,3.439,-2.7702,-1.9608,13.1278,2.3695,-0.5752,-4.0834,-7.4091,-0.961,2.0582,-1.1909
Calcio,-14.2216,6.4953,5.02,0.9433,4.3862,14.8584,0.6704,-11.5353,0.407,-19.4457,11.1043,-17.2047,1.8682,3.439,-2.7702,-1.9608,13.1278,2.3695,-0.5752,-4.0834,-7.4091,-0.961,2.0582,-1.1909,-1.7196,3.3434,-9.1442,8.5138,4.9033,14.5711,-5.8562,9.0166,-2.5953,6.8091,11.1905,2.3559,-1.9832,-6.8376,2.2705,2.3887,-0.4443,0.9706,-2.9655,4.1489,-6.8009,-0.7003,3.0554,-0.7184
Calcio,-1.7196,3.3434,-9.1442,8.5138,4.9033,14.5711,-5.8562,9.0166,-2.5953,6.8091,11.1905,2.3559,-1.9832,-6.8376,2.2705,2.3887,-0.4443,0.9706,-2.9655,4.1489,-6.8009,-0.7003,3.0554,-0.7184,-0.2922,-4.9529,5.1397,11.7603,9.9982,4.4772,-42.6407,2.9592,19.5127,6.4835,10.9894,-2.4325,-0.7987,2.5563,1.3862,1.1669,3.4241,-1.0903,-3.5976,-6.9031,6.347,-0.2937,-1.8544,0.4571
Calcio,-0.2922,-4.9529,5.1397,11.7603,9.9982,4.4772,-42.6407,2.9592,19.5127,6.4835,10.9894,-2.4325,-0.7987,2.5563,1.3862,1.1669,3.4241,-1.0903,-3.5976,-6.9031,6.347,-0.2937,-1.8544,0.4571,-14.0875,6.0402,-1.7436,-3.4046,7.3837,3.8403,-6.9384,-6.9384,-0.6943,3.1891,9.232,-4.051,-0.5337,-2.5669,1.7432,-0.0984,-0.0937,-0.7109,-0.0639,2.2562,1.8278,0.2591,-0.5417,0.0665
